category,count
software,15892
mobile,12275
health care,10972
enterprise software,9600
e-commerce,9173
internet,8314
biotechnology,7931
information technology,6659
saas,6240
analytics,5959
advertising,4872
manufacturing,4829
medical,4767
apps,4493
social media,4357
education,3717
finance,3650
big data,3482
fintech,3348
hardware,3257
financial services,3200
medical device,3113
security,2877
cloud computing,2782
video,2703
retail,2509
telecommunications,2406
wireless,2317
travel,2249
pharmaceutical,2217
service industry,2183
fashion,2102
electronics,2079
marketing,2010
marketplace,2002
therapeutics,2001
digital media,1984
energy,1973
health diagnostics,1902
internet of things,1874
mobile apps,1703
real estate,1681
search engine,1656
semiconductor,1624
automotive,1611
machine learning,1592
content,1572
information services,1547
artificial intelligence,1542
messaging,1526
consumer electronics,1502
music,1493
payments,1492
b2b,1491
shopping,1470
web hosting,1449
gaming,1418
transportation,1367
ios,1347
sports,1323
real time,1285
computer,1258
publishing,1255
business intelligence,1223
collaboration,1205
logistics,1195
consulting,1166
developer tools,1163
hospitality,1146
cyber security,1144
edtech,1135
renewable energy,1118
customer service,1102
media and entertainment,1102
news,1099
online portals,1098
web development,1080
recruiting,1068
lifestyle,1062
crm,1048
food and beverage,1040
android,1031
robotics,1018
events,1011
fitness,1010
human resources,1003
network security,1001
social network,954
developer platform,904
consumer,900
photography,891
genetics,883
restaurants,878
solar,871
product design,868
marketing automation,867
video streaming,845
location based services,838
infrastructure,835
small and medium businesses,827
brand marketing,824
advertising platforms,823
industrial,799
biopharma,797
communities,796
predictive analytics,793
cloud data services,769
wearables,744
video games,729
wellness,721
local,710
business development,703
energy efficiency,703
mobile payments,701
e-learning,700
communications infrastructure,692
banking,677
digital entertainment,675
delivery,670
oil and gas,669
market research,664
tourism,657
training,643
life science,643
crowdsourcing,641
3d technology,637
social media marketing,630
developer apis,625
open source,623
clean energy,619
supply chain management,613
hospital,612
insurance,610
virtualization,596
agriculture,592
retail technology,587
cleantech,583
mhealth,577
food processing,556
email,551
data visualization,551
database,546
risk management,522
construction,519
non profit,518
legal,515
virtual reality,500
nanotechnology,498
beauty,496
sensor,491
innovation management,486
social,477
mobile devices,459
voip,458
audio,458
professional services,456
identity management,436
personalization,434
crowdfunding,431
data integration,430
energy management,428
aerospace,427
broadcasting,424
chemical,421
cloud infrastructure,420
personal finance,418
mobile advertising,417
web browsers,414
data center,413
photo sharing,413
file sharing,408
venture capital,399
ticketing,393
augmented reality,391
online games,390
art,387
project management,380
employment,379
public transportation,377
accounting,376
enterprise,374
e-commerce platforms,374
water,371
bitcoin,365
web design,362
clinical trials,361
digital marketing,358
