Category: All categories

Month,3d printing: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,6
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,5
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,4
2009-10,4
2009-11,8
2009-12,8
2010-01,0
2010-02,4
2010-03,3
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,9
2010-10,3
2010-11,7
2010-12,3
2011-01,4
2011-02,6
2011-03,9
2011-04,4
2011-05,6
2011-06,4
2011-07,9
2011-08,4
2011-09,5
2011-10,8
2011-11,10
2011-12,11
2012-01,11
2012-02,20
2012-03,15
2012-04,22
2012-05,17
2012-06,14
2012-07,21
2012-08,27
2012-09,25
2012-10,39
2012-11,35
2012-12,31
2013-01,57
2013-02,64
2013-03,72
2013-04,47
2013-05,100
2013-06,69
2013-07,69
2013-08,66
2013-09,76
2013-10,76
2013-11,72
2013-12,67
2014-01,92
2014-02,92
2014-03,65
2014-04,86
2014-05,67
2014-06,51
2014-07,63
2014-08,60
2014-09,68
2014-10,69
2014-11,69
2014-12,56
2015-01,60
2015-02,60
2015-03,69
2015-04,67
2015-05,80
2015-06,57
2015-07,43
2015-08,56
2015-09,63
2015-10,60
2015-11,54
2015-12,49
2016-01,58
2016-02,72
2016-03,84
2016-04,70
2016-05,61
2016-06,68
2016-07,76
2016-08,83
2016-09,83
2016-10,93
2016-11,85
2016-12,75
2017-01,96
2017-02,91
2017-03,40
2017-04,36
2017-05,35
2017-06,30
2017-07,24
2017-08,32
