Category: All categories

Month,augmented reality: (Worldwide)
2004-01,16
2004-02,21
2004-03,22
2004-04,19
2004-05,22
2004-06,15
2004-07,18
2004-08,12
2004-09,13
2004-10,16
2004-11,15
2004-12,14
2005-01,15
2005-02,20
2005-03,12
2005-04,16
2005-05,18
2005-06,17
2005-07,10
2005-08,15
2005-09,12
2005-10,11
2005-11,14
2005-12,14
2006-01,10
2006-02,14
2006-03,14
2006-04,12
2006-05,12
2006-06,9
2006-07,9
2006-08,8
2006-09,9
2006-10,10
2006-11,9
2006-12,10
2007-01,9
2007-02,11
2007-03,11
2007-04,11
2007-05,11
2007-06,10
2007-07,9
2007-08,8
2007-09,9
2007-10,11
2007-11,10
2007-12,8
2008-01,9
2008-02,11
2008-03,10
2008-04,11
2008-05,11
2008-06,9
2008-07,10
2008-08,10
2008-09,10
2008-10,11
2008-11,14
2008-12,13
2009-01,16
2009-02,21
2009-03,36
2009-04,33
2009-05,29
2009-06,42
2009-07,55
2009-08,64
2009-09,67
2009-10,69
2009-11,71
2009-12,68
2010-01,73
2010-02,75
2010-03,69
2010-04,63
2010-05,66
2010-06,62
2010-07,61
2010-08,58
2010-09,63
2010-10,65
2010-11,65
2010-12,61
2011-01,63
2011-02,60
2011-03,72
2011-04,67
2011-05,66
2011-06,65
2011-07,57
2011-08,55
2011-09,57
2011-10,67
2011-11,69
2011-12,60
2012-01,63
2012-02,68
2012-03,66
2012-04,84
2012-05,63
2012-06,59
2012-07,61
2012-08,54
2012-09,61
2012-10,56
2012-11,58
2012-12,52
2013-01,55
2013-02,55
2013-03,54
2013-04,52
2013-05,50
2013-06,44
2013-07,44
2013-08,46
2013-09,45
2013-10,47
2013-11,48
2013-12,40
2014-01,42
2014-02,43
2014-03,47
2014-04,47
2014-05,43
2014-06,40
2014-07,38
2014-08,35
2014-09,41
2014-10,42
2014-11,41
2014-12,34
2015-01,42
2015-02,43
2015-03,47
2015-04,43
2015-05,42
2015-06,43
2015-07,39
2015-08,35
2015-09,44
2015-10,44
2015-11,46
2015-12,37
2016-01,39
2016-02,47
2016-03,52
2016-04,47
2016-05,46
2016-06,42
2016-07,100
2016-08,62
2016-09,59
2016-10,56
2016-11,59
2016-12,49
2017-01,55
2017-02,62
2017-03,66
2017-04,68
2017-05,60
2017-06,62
2017-07,57
