Category: All categories

Month,augmented reality: (Worldwide)
2008-01,0
2008-02,0
2008-03,4
2008-04,4
2008-05,8
2008-06,4
2008-07,4
2008-08,0
2008-09,4
2008-10,0
2008-11,4
2008-12,0
2009-01,5
2009-02,3
2009-03,4
2009-04,4
2009-05,11
2009-06,9
2009-07,14
2009-08,17
2009-09,27
2009-10,32
2009-11,26
2009-12,24
2010-01,17
2010-02,23
2010-03,17
2010-04,6
2010-05,5
2010-06,6
2010-07,13
2010-08,8
2010-09,6
2010-10,9
2010-11,7
2010-12,4
2011-01,13
2011-02,14
2011-03,12
2011-04,14
2011-05,12
2011-06,12
2011-07,8
2011-08,7
2011-09,8
2011-10,6
2011-11,16
2011-12,9
2012-01,10
2012-02,12
2012-03,11
2012-04,13
2012-05,10
2012-06,9
2012-07,12
2012-08,14
2012-09,12
2012-10,12
2012-11,29
2012-12,16
2013-01,17
2013-02,13
2013-03,12
2013-04,11
2013-05,14
2013-06,11
2013-07,9
2013-08,10
2013-09,9
2013-10,13
2013-11,7
2013-12,7
2014-01,6
2014-02,8
2014-03,8
2014-04,11
2014-05,4
2014-06,9
2014-07,8
2014-08,4
2014-09,8
2014-10,7
2014-11,8
2014-12,6
2015-01,7
2015-02,9
2015-03,31
2015-04,9
2015-05,11
2015-06,12
2015-07,11
2015-08,14
2015-09,10
2015-10,13
2015-11,15
2015-12,15
2016-01,18
2016-02,50
2016-03,83
2016-04,23
2016-05,21
2016-06,49
2016-07,100
2016-08,87
2016-09,80
2016-10,71
2016-11,83
2016-12,69
2017-01,73
2017-02,60
2017-03,25
2017-04,24
2017-05,23
2017-06,17
2017-07,18
