Category: All categories

Month,big data: (Worldwide)
2008-01,0
2008-02,0
2008-03,2
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,2
2008-10,1
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,1
2009-05,0
2009-06,1
2009-07,0
2009-08,0
2009-09,1
2009-10,1
2009-11,0
2009-12,1
2010-01,0
2010-02,1
2010-03,0
2010-04,1
2010-05,0
2010-06,1
2010-07,1
2010-08,1
2010-09,0
2010-10,0
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,3
2011-06,4
2011-07,2
2011-08,3
2011-09,4
2011-10,4
2011-11,7
2011-12,6
2012-01,10
2012-02,11
2012-03,14
2012-04,11
2012-05,17
2012-06,16
2012-07,21
2012-08,19
2012-09,20
2012-10,25
2012-11,24
2012-12,21
2013-01,28
2013-02,26
2013-03,23
2013-04,29
2013-05,27
2013-06,35
2013-07,27
2013-08,30
2013-09,31
2013-10,26
2013-11,25
2013-12,24
2014-01,24
2014-02,27
2014-03,28
2014-04,29
2014-05,30
2014-06,30
2014-07,35
2014-08,30
2014-09,34
2014-10,32
2014-11,27
2014-12,29
2015-01,25
2015-02,29
2015-03,27
2015-04,31
2015-05,29
2015-06,36
2015-07,33
2015-08,30
2015-09,31
2015-10,30
2015-11,31
2015-12,26
2016-01,32
2016-02,59
2016-03,72
2016-04,40
2016-05,39
2016-06,51
2016-07,100
2016-08,59
2016-09,62
2016-10,54
2016-11,55
2016-12,53
2017-01,58
2017-02,48
2017-03,25
2017-04,27
2017-05,21
2017-06,22
2017-07,15
