Category: All categories

Month,bit coin: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,7
2011-06,18
2011-07,7
2011-08,14
2011-09,0
2011-10,13
2011-11,11
2011-12,6
2012-01,6
2012-02,6
2012-03,0
2012-04,6
2012-05,6
2012-06,0
2012-07,0
2012-08,0
2012-09,9
2012-10,10
2012-11,5
2012-12,10
2013-01,0
2013-02,8
2013-03,16
2013-04,100
2013-05,26
2013-06,13
2013-07,12
2013-08,12
2013-09,11
2013-10,27
2013-11,84
2013-12,82
2014-01,53
2014-02,91
2014-03,74
2014-04,31
2014-05,11
2014-06,20
2014-07,26
2014-08,14
2014-09,13
2014-10,10
2014-11,11
2014-12,13
2015-01,9
2015-02,4
2015-03,19
2015-04,9
2015-05,14
2015-06,7
2015-07,8
2015-08,9
2015-09,9
2015-10,9
2015-11,15
2015-12,11
2016-01,9
2016-02,10
2016-03,14
2016-04,10
2016-05,15
2016-06,14
2016-07,18
2016-08,9
2016-09,15
2016-10,20
2016-11,23
2016-12,17
2017-01,22
2017-02,22
2017-03,13
2017-04,5
2017-05,23
2017-06,33
2017-07,18
