Category: All categories

Month,chatbot: (Worldwide)
2004-01,24
2004-02,20
2004-03,17
2004-04,20
2004-05,13
2004-06,18
2004-07,19
2004-08,18
2004-09,30
2004-10,21
2004-11,16
2004-12,18
2005-01,18
2005-02,18
2005-03,11
2005-04,18
2005-05,19
2005-06,20
2005-07,19
2005-08,15
2005-09,19
2005-10,20
2005-11,18
2005-12,18
2006-01,18
2006-02,21
2006-03,17
2006-04,16
2006-05,14
2006-06,15
2006-07,14
2006-08,15
2006-09,25
2006-10,13
2006-11,14
2006-12,11
2007-01,14
2007-02,14
2007-03,13
2007-04,13
2007-05,14
2007-06,14
2007-07,13
2007-08,11
2007-09,11
2007-10,12
2007-11,10
2007-12,13
2008-01,11
2008-02,9
2008-03,10
2008-04,9
2008-05,10
2008-06,10
2008-07,9
2008-08,10
2008-09,9
2008-10,10
2008-11,11
2008-12,11
2009-01,12
2009-02,11
2009-03,11
2009-04,10
2009-05,9
2009-06,9
2009-07,9
2009-08,9
2009-09,11
2009-10,10
2009-11,10
2009-12,11
2010-01,10
2010-02,10
2010-03,11
2010-04,10
2010-05,11
2010-06,11
2010-07,11
2010-08,10
2010-09,10
2010-10,12
2010-11,11
2010-12,11
2011-01,10
2011-02,10
2011-03,11
2011-04,12
2011-05,12
2011-06,11
2011-07,11
2011-08,16
2011-09,24
2011-10,14
2011-11,14
2011-12,13
2012-01,12
2012-02,9
2012-03,8
2012-04,9
2012-05,8
2012-06,8
2012-07,9
2012-08,9
2012-09,8
2012-10,7
2012-11,7
2012-12,7
2013-01,6
2013-02,7
2013-03,7
2013-04,7
2013-05,7
2013-06,7
2013-07,7
2013-08,7
2013-09,8
2013-10,7
2013-11,7
2013-12,8
2014-01,8
2014-02,8
2014-03,7
2014-04,7
2014-05,8
2014-06,20
2014-07,9
2014-08,8
2014-09,8
2014-10,9
2014-11,8
2014-12,8
2015-01,8
2015-02,8
2015-03,8
2015-04,8
2015-05,9
2015-06,10
2015-07,13
2015-08,10
2015-09,9
2015-10,9
2015-11,9
2015-12,9
2016-01,8
2016-02,9
2016-03,19
2016-04,23
2016-05,16
2016-06,19
2016-07,20
2016-08,19
2016-09,23
2016-10,29
2016-11,31
2016-12,35
2017-01,37
2017-02,44
2017-03,50
2017-04,45
2017-05,52
2017-06,53
2017-07,57
2017-08,100
