Category: All categories

Month,deep learning: (Worldwide)
2004-01,4
2004-02,3
2004-03,4
2004-04,4
2004-05,4
2004-06,1
2004-07,3
2004-08,6
2004-09,4
2004-10,6
2004-11,6
2004-12,2
2005-01,2
2005-02,4
2005-03,3
2005-04,4
2005-05,3
2005-06,6
2005-07,2
2005-08,3
2005-09,3
2005-10,4
2005-11,3
2005-12,3
2006-01,3
2006-02,4
2006-03,4
2006-04,4
2006-05,3
2006-06,2
2006-07,3
2006-08,2
2006-09,4
2006-10,2
2006-11,3
2006-12,3
2007-01,3
2007-02,2
2007-03,3
2007-04,3
2007-05,2
2007-06,4
2007-07,2
2007-08,3
2007-09,3
2007-10,3
2007-11,3
2007-12,2
2008-01,3
2008-02,3
2008-03,4
2008-04,3
2008-05,3
2008-06,3
2008-07,3
2008-08,2
2008-09,3
2008-10,3
2008-11,3
2008-12,2
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,2
2009-08,2
2009-09,2
2009-10,4
2009-11,3
2009-12,2
2010-01,3
2010-02,3
2010-03,3
2010-04,4
2010-05,3
2010-06,3
2010-07,3
2010-08,2
2010-09,2
2010-10,4
2010-11,4
2010-12,3
2011-01,3
2011-02,3
2011-03,3
2011-04,3
2011-05,4
2011-06,3
2011-07,3
2011-08,3
2011-09,4
2011-10,4
2011-11,4
2011-12,4
2012-01,3
2012-02,4
2012-03,4
2012-04,4
2012-05,4
2012-06,4
2012-07,4
2012-08,3
2012-09,5
2012-10,5
2012-11,9
2012-12,6
2013-01,6
2013-02,5
2013-03,7
2013-04,7
2013-05,8
2013-06,8
2013-07,7
2013-08,7
2013-09,8
2013-10,10
2013-11,10
2013-12,11
2014-01,11
2014-02,13
2014-03,11
2014-04,13
2014-05,13
2014-06,12
2014-07,12
2014-08,13
2014-09,16
2014-10,16
2014-11,16
2014-12,22
2015-01,24
2015-02,23
2015-03,27
2015-04,24
2015-05,26
2015-06,30
2015-07,30
2015-08,28
2015-09,30
2015-10,32
2015-11,35
2015-12,35
2016-01,43
2016-02,43
2016-03,55
2016-04,54
2016-05,52
2016-06,55
2016-07,50
2016-08,50
2016-09,59
2016-10,66
2016-11,70
2016-12,75
2017-01,86
2017-02,88
2017-03,96
2017-04,97
2017-05,98
2017-06,100
2017-07,96
