Category: All categories

Month,deep learning: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,8
2010-05,0
2010-06,0
2010-07,7
2010-08,7
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,6
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,11
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,5
2012-03,4
2012-04,5
2012-05,0
2012-06,4
2012-07,4
2012-08,4
2012-09,0
2012-10,0
2012-11,6
2012-12,4
2013-01,0
2013-02,0
2013-03,4
2013-04,5
2013-05,5
2013-06,4
2013-07,0
2013-08,0
2013-09,7
2013-10,3
2013-11,3
2013-12,3
2014-01,5
2014-02,7
2014-03,11
2014-04,6
2014-05,3
2014-06,7
2014-07,7
2014-08,8
2014-09,6
2014-10,11
2014-11,16
2014-12,7
2015-01,18
2015-02,23
2015-03,20
2015-04,17
2015-05,16
2015-06,34
2015-07,20
2015-08,12
2015-09,25
2015-10,20
2015-11,24
2015-12,38
2016-01,38
2016-02,48
2016-03,64
2016-04,50
2016-05,48
2016-06,49
2016-07,53
2016-08,48
2016-09,66
2016-10,76
2016-11,67
2016-12,74
2017-01,92
2017-02,100
2017-03,48
2017-04,59
2017-05,36
2017-06,47
2017-07,46
