Category: All categories

Month,drone: (Worldwide)
2004-01,2
2004-02,2
2004-03,3
2004-04,3
2004-05,2
2004-06,2
2004-07,2
2004-08,2
2004-09,3
2004-10,3
2004-11,2
2004-12,2
2005-01,2
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,3
2007-06,3
2007-07,3
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,2
2008-03,4
2008-04,3
2008-05,3
2008-06,3
2008-07,2
2008-08,2
2008-09,3
2008-10,2
2008-11,3
2008-12,2
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,4
2009-09,3
2009-10,3
2009-11,3
2009-12,5
2010-01,7
2010-02,5
2010-03,4
2010-04,4
2010-05,4
2010-06,5
2010-07,5
2010-08,8
2010-09,10
2010-10,10
2010-11,8
2010-12,11
2011-01,8
2011-02,7
2011-03,7
2011-04,8
2011-05,9
2011-06,8
2011-07,8
2011-08,7
2011-09,8
2011-10,9
2011-11,9
2011-12,23
2012-01,11
2012-02,9
2012-03,8
2012-04,9
2012-05,10
2012-06,13
2012-07,10
2012-08,10
2012-09,11
2012-10,12
2012-11,14
2012-12,15
2013-01,13
2013-02,17
2013-03,16
2013-04,14
2013-05,14
2013-06,13
2013-07,14
2013-08,15
2013-09,14
2013-10,13
2013-11,16
2013-12,31
2014-01,19
2014-02,18
2014-03,20
2014-04,21
2014-05,23
2014-06,22
2014-07,27
2014-08,26
2014-09,24
2014-10,29
2014-11,43
2014-12,52
2015-01,39
2015-02,36
2015-03,34
2015-04,35
2015-05,44
2015-06,45
2015-07,45
2015-08,45
2015-09,44
2015-10,44
2015-11,56
2015-12,88
2016-01,55
2016-02,44
2016-03,43
2016-04,45
2016-05,46
2016-06,46
2016-07,47
2016-08,44
2016-09,51
2016-10,52
2016-11,72
2016-12,100
2017-01,66
2017-02,56
2017-03,53
2017-04,53
2017-05,54
2017-06,57
2017-07,59
