Category: All categories

Month,drone: (Worldwide)
2008-01,0
2008-02,1
2008-03,1
2008-04,2
2008-05,1
2008-06,0
2008-07,0
2008-08,1
2008-09,2
2008-10,1
2008-11,1
2008-12,1
2009-01,2
2009-02,3
2009-03,7
2009-04,8
2009-05,4
2009-06,5
2009-07,4
2009-08,5
2009-09,4
2009-10,6
2009-11,4
2009-12,15
2010-01,12
2010-02,14
2010-03,8
2010-04,6
2010-05,7
2010-06,6
2010-07,4
2010-08,7
2010-09,6
2010-10,8
2010-11,6
2010-12,7
2011-01,9
2011-02,5
2011-03,7
2011-04,9
2011-05,10
2011-06,10
2011-07,7
2011-08,7
2011-09,6
2011-10,12
2011-11,7
2011-12,78
2012-01,15
2012-02,11
2012-03,7
2012-04,9
2012-05,9
2012-06,17
2012-07,8
2012-08,7
2012-09,10
2012-10,24
2012-11,23
2012-12,47
2013-01,100
2013-02,60
2013-03,71
2013-04,26
2013-05,29
2013-06,14
2013-07,12
2013-08,13
2013-09,11
2013-10,11
2013-11,16
2013-12,22
2014-01,10
2014-02,13
2014-03,16
2014-04,15
2014-05,17
2014-06,15
2014-07,14
2014-08,15
2014-09,13
2014-10,16
2014-11,26
2014-12,18
2015-01,20
2015-02,20
2015-03,18
2015-04,18
2015-05,18
2015-06,19
2015-07,21
2015-08,19
2015-09,19
2015-10,23
2015-11,22
2015-12,26
2016-01,23
2016-02,29
2016-03,36
2016-04,23
2016-05,23
2016-06,26
2016-07,26
2016-08,30
2016-09,28
2016-10,37
2016-11,41
2016-12,41
2017-01,35
2017-02,29
2017-03,19
2017-04,17
2017-05,17
2017-06,18
2017-07,14
