Category: All categories

Month,fintech: (Worldwide)
2004-01,3
2004-02,3
2004-03,3
2004-04,3
2004-05,3
2004-06,3
2004-07,2
2004-08,4
2004-09,3
2004-10,2
2004-11,4
2004-12,4
2005-01,3
2005-02,2
2005-03,5
2005-04,3
2005-05,4
2005-06,1
2005-07,5
2005-08,2
2005-09,3
2005-10,3
2005-11,4
2005-12,3
2006-01,4
2006-02,2
2006-03,3
2006-04,4
2006-05,3
2006-06,3
2006-07,2
2006-08,2
2006-09,3
2006-10,2
2006-11,8
2006-12,3
2007-01,3
2007-02,3
2007-03,4
2007-04,3
2007-05,3
2007-06,3
2007-07,2
2007-08,3
2007-09,2
2007-10,3
2007-11,4
2007-12,3
2008-01,3
2008-02,4
2008-03,3
2008-04,4
2008-05,3
2008-06,3
2008-07,3
2008-08,3
2008-09,3
2008-10,3
2008-11,3
2008-12,3
2009-01,3
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,2
2009-07,3
2009-08,2
2009-09,3
2009-10,3
2009-11,3
2009-12,2
2010-01,2
2010-02,3
2010-03,2
2010-04,3
2010-05,2
2010-06,3
2010-07,3
2010-08,2
2010-09,3
2010-10,3
2010-11,3
2010-12,3
2011-01,3
2011-02,3
2011-03,3
2011-04,3
2011-05,3
2011-06,3
2011-07,3
2011-08,3
2011-09,3
2011-10,3
2011-11,3
2011-12,2
2012-01,3
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,4
2012-11,3
2012-12,4
2013-01,3
2013-02,3
2013-03,3
2013-04,4
2013-05,3
2013-06,3
2013-07,3
2013-08,5
2013-09,4
2013-10,4
2013-11,8
2013-12,3
2014-01,5
2014-02,5
2014-03,6
2014-04,6
2014-05,5
2014-06,6
2014-07,7
2014-08,8
2014-09,8
2014-10,9
2014-11,10
2014-12,8
2015-01,11
2015-02,13
2015-03,16
2015-04,18
2015-05,19
2015-06,24
2015-07,24
2015-08,25
2015-09,32
2015-10,36
2015-11,37
2015-12,38
2016-01,47
2016-02,53
2016-03,62
2016-04,69
2016-05,71
2016-06,71
2016-07,64
2016-08,68
2016-09,72
2016-10,74
2016-11,85
2016-12,66
2017-01,85
2017-02,86
2017-03,90
2017-04,87
2017-05,89
2017-06,89
2017-07,86
2017-08,100
