Category: All categories

Month,fintech: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,3
2008-12,0
2009-01,0
2009-02,0
2009-03,3
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,0
2010-03,2
2010-04,2
2010-05,0
2010-06,0
2010-07,0
2010-08,2
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,5
2011-05,2
2011-06,0
2011-07,2
2011-08,0
2011-09,0
2011-10,0
2011-11,1
2011-12,1
2012-01,0
2012-02,1
2012-03,2
2012-04,1
2012-05,2
2012-06,1
2012-07,3
2012-08,0
2012-09,1
2012-10,3
2012-11,1
2012-12,2
2013-01,1
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-06,3
2013-07,2
2013-08,2
2013-09,1
2013-10,2
2013-11,4
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,2
2014-05,1
2014-06,2
2014-07,4
2014-08,3
2014-09,6
2014-10,3
2014-11,7
2014-12,7
2015-01,6
2015-02,8
2015-03,7
2015-04,14
2015-05,16
2015-06,17
2015-07,20
2015-08,19
2015-09,22
2015-10,20
2015-11,22
2015-12,28
2016-01,38
2016-02,52
2016-03,75
2016-04,53
2016-05,59
2016-06,68
2016-07,76
2016-08,75
2016-09,73
2016-10,84
2016-11,82
2016-12,85
2017-01,86
2017-02,100
2017-03,71
2017-04,60
2017-05,60
2017-06,66
2017-07,51
2017-08,94
