Category: All categories

Month,iot: (Worldwide)
2008-01,0
2008-02,3
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,2
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,2
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,3
2009-08,0
2009-09,0
2009-10,2
2009-11,2
2009-12,5
2010-01,0
2010-02,1
2010-03,0
2010-04,1
2010-05,1
2010-06,0
2010-07,0
2010-08,1
2010-09,1
2010-10,0
2010-11,1
2010-12,0
2011-01,0
2011-02,1
2011-03,1
2011-04,2
2011-05,2
2011-06,1
2011-07,1
2011-08,2
2011-09,1
2011-10,1
2011-11,2
2011-12,2
2012-01,1
2012-02,0
2012-03,1
2012-04,1
2012-05,1
2012-06,0
2012-07,1
2012-08,0
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,3
2013-12,2
2014-01,4
2014-02,6
2014-03,4
2014-04,6
2014-05,7
2014-06,6
2014-07,8
2014-08,9
2014-09,12
2014-10,12
2014-11,15
2014-12,14
2015-01,19
2015-02,19
2015-03,21
2015-04,27
2015-05,31
2015-06,31
2015-07,35
2015-08,33
2015-09,34
2015-10,43
2015-11,41
2015-12,37
2016-01,43
2016-02,65
2016-03,82
2016-04,59
2016-05,61
2016-06,73
2016-07,76
2016-08,86
2016-09,87
2016-10,100
2016-11,90
2016-12,85
2017-01,92
2017-02,94
2017-03,65
2017-04,58
2017-05,58
2017-06,58
2017-07,49
