Category: All categories

Month,lidar: (Worldwide)
2004-01,54
2004-02,59
2004-03,63
2004-04,70
2004-05,64
2004-06,59
2004-07,51
2004-08,54
2004-09,56
2004-10,51
2004-11,55
2004-12,49
2005-01,47
2005-02,55
2005-03,65
2005-04,58
2005-05,61
2005-06,61
2005-07,56
2005-08,46
2005-09,56
2005-10,54
2005-11,52
2005-12,42
2006-01,48
2006-02,53
2006-03,54
2006-04,55
2006-05,51
2006-06,51
2006-07,47
2006-08,47
2006-09,46
2006-10,51
2006-11,49
2006-12,42
2007-01,46
2007-02,48
2007-03,48
2007-04,50
2007-05,54
2007-06,52
2007-07,49
2007-08,48
2007-09,47
2007-10,53
2007-11,53
2007-12,44
2008-01,46
2008-02,52
2008-03,53
2008-04,56
2008-05,53
2008-06,53
2008-07,52
2008-08,52
2008-09,53
2008-10,55
2008-11,52
2008-12,45
2009-01,47
2009-02,51
2009-03,60
2009-04,62
2009-05,58
2009-06,57
2009-07,56
2009-08,55
2009-09,58
2009-10,58
2009-11,59
2009-12,50
2010-01,51
2010-02,54
2010-03,64
2010-04,67
2010-05,65
2010-06,62
2010-07,55
2010-08,57
2010-09,59
2010-10,60
2010-11,64
2010-12,49
2011-01,54
2011-02,60
2011-03,62
2011-04,63
2011-05,62
2011-06,60
2011-07,56
2011-08,60
2011-09,62
2011-10,61
2011-11,62
2011-12,51
2012-01,55
2012-02,61
2012-03,64
2012-04,62
2012-05,64
2012-06,59
2012-07,58
2012-08,61
2012-09,63
2012-10,61
2012-11,62
2012-12,52
2013-01,60
2013-02,62
2013-03,64
2013-04,66
2013-05,68
2013-06,67
2013-07,62
2013-08,63
2013-09,66
2013-10,68
2013-11,68
2013-12,57
2014-01,62
2014-02,67
2014-03,69
2014-04,69
2014-05,71
2014-06,65
2014-07,69
2014-08,69
2014-09,75
2014-10,75
2014-11,72
2014-12,64
2015-01,67
2015-02,76
2015-03,80
2015-04,81
2015-05,78
2015-06,79
2015-07,74
2015-08,78
2015-09,84
2015-10,82
2015-11,84
2015-12,72
2016-01,75
2016-02,85
2016-03,85
2016-04,90
2016-05,88
2016-06,87
2016-07,80
2016-08,86
2016-09,89
2016-10,90
2016-11,88
2016-12,77
2017-01,89
2017-02,93
2017-03,99
2017-04,100
2017-05,100
2017-06,88
2017-07,87
2017-08,96
