Category: All categories

Month,lidar: (Worldwide)
2008-01,0
2008-02,31
2008-03,0
2008-04,0
2008-05,28
2008-06,29
2008-07,57
2008-08,0
2008-09,26
2008-10,0
2008-11,0
2008-12,24
2009-01,0
2009-02,24
2009-03,83
2009-04,22
2009-05,21
2009-06,41
2009-07,20
2009-08,51
2009-09,19
2009-10,18
2009-11,18
2009-12,36
2010-01,25
2010-02,35
2010-03,23
2010-04,25
2010-05,48
2010-06,33
2010-07,21
2010-08,23
2010-09,15
2010-10,14
2010-11,13
2010-12,13
2011-01,33
2011-02,19
2011-03,23
2011-04,25
2011-05,24
2011-06,12
2011-07,24
2011-08,15
2011-09,21
2011-10,20
2011-11,14
2011-12,21
2012-01,26
2012-02,20
2012-03,34
2012-04,19
2012-05,37
2012-06,25
2012-07,9
2012-08,18
2012-09,15
2012-10,25
2012-11,17
2012-12,17
2013-01,21
2013-02,31
2013-03,15
2013-04,28
2013-05,35
2013-06,36
2013-07,30
2013-08,48
2013-09,29
2013-10,30
2013-11,24
2013-12,24
2014-01,24
2014-02,22
2014-03,24
2014-04,32
2014-05,25
2014-06,20
2014-07,25
2014-08,49
2014-09,33
2014-10,25
2014-11,18
2014-12,41
2015-01,17
2015-02,35
2015-03,31
2015-04,30
2015-05,25
2015-06,17
2015-07,36
2015-08,17
2015-09,39
2015-10,39
2015-11,34
2015-12,32
2016-01,39
2016-02,55
2016-03,54
2016-04,60
2016-05,16
2016-06,89
2016-07,97
2016-08,61
2016-09,72
2016-10,100
2016-11,69
2016-12,62
2017-01,82
2017-02,68
2017-03,63
2017-04,64
2017-05,59
2017-06,50
2017-07,70
2017-08,59
