Category: All categories

Month,mobile healthcare: (Worldwide)
2004-01,62
2004-02,43
2004-03,76
2004-04,63
2004-05,63
2004-06,47
2004-07,78
2004-08,77
2004-09,67
2004-10,57
2004-11,36
2004-12,34
2005-01,70
2005-02,37
2005-03,54
2005-04,49
2005-05,35
2005-06,41
2005-07,62
2005-08,48
2005-09,68
2005-10,45
2005-11,45
2005-12,54
2006-01,51
2006-02,73
2006-03,45
2006-04,35
2006-05,56
2006-06,61
2006-07,57
2006-08,50
2006-09,54
2006-10,69
2006-11,52
2006-12,41
2007-01,41
2007-02,50
2007-03,49
2007-04,56
2007-05,45
2007-06,47
2007-07,44
2007-08,45
2007-09,56
2007-10,39
2007-11,47
2007-12,40
2008-01,43
2008-02,49
2008-03,44
2008-04,34
2008-05,50
2008-06,44
2008-07,47
2008-08,50
2008-09,48
2008-10,51
2008-11,47
2008-12,53
2009-01,57
2009-02,51
2009-03,60
2009-04,59
2009-05,54
2009-06,50
2009-07,50
2009-08,54
2009-09,54
2009-10,52
2009-11,51
2009-12,53
2010-01,59
2010-02,60
2010-03,64
2010-04,54
2010-05,52
2010-06,52
2010-07,55
2010-08,73
2010-09,58
2010-10,52
2010-11,60
2010-12,51
2011-01,67
2011-02,62
2011-03,66
2011-04,58
2011-05,53
2011-06,66
2011-07,67
2011-08,67
2011-09,68
2011-10,65
2011-11,61
2011-12,50
2012-01,63
2012-02,67
2012-03,68
2012-04,71
2012-05,70
2012-06,70
2012-07,67
2012-08,76
2012-09,79
2012-10,76
2012-11,70
2012-12,63
2013-01,78
2013-02,78
2013-03,72
2013-04,82
2013-05,82
2013-06,71
2013-07,79
2013-08,79
2013-09,70
2013-10,78
2013-11,68
2013-12,61
2014-01,77
2014-02,75
2014-03,73
2014-04,70
2014-05,68
2014-06,74
2014-07,76
2014-08,71
2014-09,70
2014-10,67
2014-11,70
2014-12,63
2015-01,69
2015-02,72
2015-03,74
2015-04,72
2015-05,70
2015-06,78
2015-07,68
2015-08,72
2015-09,72
2015-10,79
2015-11,67
2015-12,67
2016-01,78
2016-02,85
2016-03,83
2016-04,82
2016-05,81
2016-06,80
2016-07,81
2016-08,86
2016-09,86
2016-10,95
2016-11,79
2016-12,72
2017-01,75
2017-02,77
2017-03,82
2017-04,82
2017-05,83
2017-06,75
2017-07,82
2017-08,100
