Category: All categories

Month,mobile healthcare: (Worldwide)
2008-01,0
2008-02,81
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,59
2009-02,0
2009-03,55
2009-04,57
2009-05,54
2009-06,54
2009-07,54
2009-08,54
2009-09,100
2009-10,0
2009-11,47
2009-12,47
2010-01,0
2010-02,0
2010-03,41
2010-04,0
2010-05,42
2010-06,0
2010-07,0
2010-08,39
2010-09,63
2010-10,36
2010-11,59
2010-12,0
2011-01,65
2011-02,51
2011-03,46
2011-04,33
2011-05,61
2011-06,32
2011-07,63
2011-08,45
2011-09,28
2011-10,45
2011-11,55
2011-12,27
2012-01,25
2012-02,26
2012-03,24
2012-04,25
2012-05,0
2012-06,98
2012-07,24
2012-08,0
2012-09,0
2012-10,33
2012-11,33
2012-12,22
2013-01,0
2013-02,55
2013-03,46
2013-04,50
2013-05,39
2013-06,50
2013-07,26
2013-08,49
2013-09,39
2013-10,24
2013-11,37
2013-12,19
2014-01,35
2014-02,19
2014-03,34
2014-04,36
2014-05,18
2014-06,60
2014-07,19
2014-08,19
2014-09,37
2014-10,26
2014-11,24
2014-12,18
2015-01,22
2015-02,18
2015-03,16
2015-04,43
2015-05,33
2015-06,39
2015-07,17
2015-08,22
2015-09,40
2015-10,15
2015-11,16
2015-12,16
2016-01,32
2016-02,28
2016-03,52
2016-04,16
2016-05,32
2016-06,17
2016-07,33
2016-08,34
2016-09,25
2016-10,21
2016-11,16
2016-12,31
2017-01,0
2017-02,38
2017-03,24
2017-04,16
2017-05,26
2017-06,17
2017-07,16
2017-08,0
