Category: All categories

Month,quantum computing: (Worldwide)
2004-01,78
2004-02,100
2004-03,76
2004-04,63
2004-05,82
2004-06,77
2004-07,83
2004-08,74
2004-09,71
2004-10,75
2004-11,57
2004-12,68
2005-01,62
2005-02,70
2005-03,66
2005-04,50
2005-05,59
2005-06,38
2005-07,36
2005-08,50
2005-09,56
2005-10,45
2005-11,44
2005-12,53
2006-01,44
2006-02,49
2006-03,47
2006-04,51
2006-05,32
2006-06,32
2006-07,33
2006-08,32
2006-09,38
2006-10,40
2006-11,31
2006-12,29
2007-01,30
2007-02,62
2007-03,36
2007-04,31
2007-05,31
2007-06,25
2007-07,24
2007-08,26
2007-09,28
2007-10,30
2007-11,27
2007-12,26
2008-01,26
2008-02,30
2008-03,26
2008-04,28
2008-05,20
2008-06,20
2008-07,25
2008-08,19
2008-09,23
2008-10,26
2008-11,26
2008-12,21
2009-01,26
2009-02,25
2009-03,24
2009-04,24
2009-05,23
2009-06,18
2009-07,21
2009-08,23
2009-09,26
2009-10,24
2009-11,25
2009-12,26
2010-01,26
2010-02,26
2010-03,25
2010-04,22
2010-05,21
2010-06,23
2010-07,21
2010-08,19
2010-09,30
2010-10,26
2010-11,22
2010-12,21
2011-01,25
2011-02,26
2011-03,33
2011-04,27
2011-05,30
2011-06,25
2011-07,21
2011-08,21
2011-09,22
2011-10,23
2011-11,23
2011-12,24
2012-01,25
2012-02,35
2012-03,30
2012-04,33
2012-05,23
2012-06,21
2012-07,22
2012-08,22
2012-09,26
2012-10,34
2012-11,25
2012-12,25
2013-01,23
2013-02,24
2013-03,33
2013-04,29
2013-05,41
2013-06,31
2013-07,28
2013-08,28
2013-09,33
2013-10,37
2013-11,36
2013-12,30
2014-01,40
2014-02,38
2014-03,31
2014-04,32
2014-05,34
2014-06,32
2014-07,28
2014-08,26
2014-09,35
2014-10,31
2014-11,28
2014-12,26
2015-01,29
2015-02,27
2015-03,27
2015-04,29
2015-05,35
2015-06,26
2015-07,25
2015-08,28
2015-09,37
2015-10,40
2015-11,36
2015-12,47
2016-01,27
2016-02,26
2016-03,27
2016-04,87
2016-05,52
2016-06,29
2016-07,26
2016-08,31
2016-09,33
2016-10,32
2016-11,30
2016-12,27
2017-01,31
2017-02,46
2017-03,47
2017-04,37
2017-05,39
2017-06,34
2017-07,38
2017-08,37
