Category: All categories

Month,quantum computing: (Worldwide)
2008-01,0
2008-02,38
2008-03,32
2008-04,23
2008-05,0
2008-06,0
2008-07,0
2008-08,45
2008-09,21
2008-10,0
2008-11,50
2008-12,0
2009-01,49
2009-02,0
2009-03,17
2009-04,36
2009-05,33
2009-06,17
2009-07,34
2009-08,66
2009-09,42
2009-10,69
2009-11,44
2009-12,34
2010-01,64
2010-02,57
2010-03,64
2010-04,20
2010-05,40
2010-06,27
2010-07,30
2010-08,33
2010-09,48
2010-10,37
2010-11,30
2010-12,15
2011-01,41
2011-02,36
2011-03,22
2011-04,41
2011-05,34
2011-06,33
2011-07,16
2011-08,28
2011-09,30
2011-10,25
2011-11,20
2011-12,40
2012-01,39
2012-02,38
2012-03,76
2012-04,58
2012-05,79
2012-06,38
2012-07,25
2012-08,40
2012-09,30
2012-10,76
2012-11,26
2012-12,39
2013-01,23
2013-02,38
2013-03,29
2013-04,25
2013-05,100
2013-06,32
2013-07,48
2013-08,27
2013-09,66
2013-10,38
2013-11,35
2013-12,33
2014-01,47
2014-02,38
2014-03,43
2014-04,26
2014-05,33
2014-06,37
2014-07,32
2014-08,44
2014-09,39
2014-10,59
2014-11,40
2014-12,34
2015-01,26
2015-02,38
2015-03,22
2015-04,30
2015-05,50
2015-06,39
2015-07,28
2015-08,46
2015-09,40
2015-10,54
2015-11,54
2015-12,97
2016-01,34
2016-02,63
2016-03,88
2016-04,69
2016-05,61
2016-06,42
2016-07,53
2016-08,56
2016-09,68
2016-10,47
2016-11,69
2016-12,31
2017-01,62
2017-02,66
2017-03,53
2017-04,33
2017-05,58
2017-06,50
2017-07,49
2017-08,73
