Category: All categories

Month,robotics: (Worldwide)
2004-01,100
2004-02,98
2004-03,91
2004-04,81
2004-05,75
2004-06,75
2004-07,79
2004-08,77
2004-09,78
2004-10,77
2004-11,70
2004-12,72
2005-01,74
2005-02,73
2005-03,66
2005-04,59
2005-05,56
2005-06,52
2005-07,52
2005-08,53
2005-09,56
2005-10,55
2005-11,53
2005-12,50
2006-01,54
2006-02,50
2006-03,51
2006-04,44
2006-05,41
2006-06,39
2006-07,36
2006-08,40
2006-09,46
2006-10,42
2006-11,41
2006-12,39
2007-01,44
2007-02,41
2007-03,40
2007-04,33
2007-05,31
2007-06,29
2007-07,29
2007-08,30
2007-09,33
2007-10,33
2007-11,31
2007-12,29
2008-01,32
2008-02,30
2008-03,30
2008-04,28
2008-05,24
2008-06,24
2008-07,22
2008-08,23
2008-09,26
2008-10,25
2008-11,24
2008-12,23
2009-01,26
2009-02,26
2009-03,26
2009-04,23
2009-05,20
2009-06,19
2009-07,19
2009-08,20
2009-09,22
2009-10,22
2009-11,22
2009-12,20
2010-01,23
2010-02,23
2010-03,24
2010-04,22
2010-05,18
2010-06,17
2010-07,16
2010-08,17
2010-09,19
2010-10,19
2010-11,19
2010-12,18
2011-01,20
2011-02,20
2011-03,21
2011-04,19
2011-05,16
2011-06,15
2011-07,15
2011-08,16
2011-09,19
2011-10,18
2011-11,18
2011-12,17
2012-01,20
2012-02,20
2012-03,21
2012-04,18
2012-05,16
2012-06,15
2012-07,15
2012-08,16
2012-09,20
2012-10,20
2012-11,19
2012-12,18
2013-01,21
2013-02,21
2013-03,22
2013-04,19
2013-05,16
2013-06,15
2013-07,15
2013-08,16
2013-09,18
2013-10,18
2013-11,18
2013-12,19
2014-01,21
2014-02,20
2014-03,21
2014-04,20
2014-05,16
2014-06,15
2014-07,16
2014-08,16
2014-09,20
2014-10,19
2014-11,20
2014-12,19
2015-01,21
2015-02,21
2015-03,22
2015-04,22
2015-05,19
2015-06,20
2015-07,18
2015-08,18
2015-09,21
2015-10,20
2015-11,22
2015-12,20
2016-01,20
2016-02,20
2016-03,22
2016-04,20
2016-05,18
2016-06,16
2016-07,15
2016-08,16
2016-09,20
2016-10,19
2016-11,20
2016-12,19
2017-01,22
2017-02,22
2017-03,24
2017-04,24
2017-05,20
2017-06,18
2017-07,20
