Category: All categories

Month,robotics: (Worldwide)
2008-01,33
2008-02,35
2008-03,66
2008-04,23
2008-05,16
2008-06,11
2008-07,21
2008-08,14
2008-09,24
2008-10,14
2008-11,20
2008-12,25
2009-01,40
2009-02,33
2009-03,46
2009-04,39
2009-05,26
2009-06,13
2009-07,17
2009-08,17
2009-09,12
2009-10,22
2009-11,17
2009-12,12
2010-01,26
2010-02,21
2010-03,21
2010-04,23
2010-05,7
2010-06,9
2010-07,13
2010-08,12
2010-09,12
2010-10,13
2010-11,14
2010-12,7
2011-01,16
2011-02,20
2011-03,27
2011-04,22
2011-05,22
2011-06,16
2011-07,12
2011-08,17
2011-09,16
2011-10,17
2011-11,21
2011-12,13
2012-01,23
2012-02,20
2012-03,31
2012-04,27
2012-05,19
2012-06,20
2012-07,12
2012-08,21
2012-09,27
2012-10,22
2012-11,24
2012-12,35
2013-01,33
2013-02,33
2013-03,44
2013-04,78
2013-05,28
2013-06,30
2013-07,21
2013-08,26
2013-09,21
2013-10,26
2013-11,21
2013-12,32
2014-01,30
2014-02,27
2014-03,48
2014-04,30
2014-05,28
2014-06,22
2014-07,27
2014-08,28
2014-09,29
2014-10,19
2014-11,25
2014-12,20
2015-01,23
2015-02,29
2015-03,35
2015-04,66
2015-05,28
2015-06,100
2015-07,28
2015-08,27
2015-09,25
2015-10,27
2015-11,24
2015-12,24
2016-01,31
2016-02,63
2016-03,74
2016-04,42
2016-05,34
2016-06,41
2016-07,62
2016-08,63
2016-09,74
2016-10,84
2016-11,72
2016-12,69
2017-01,85
2017-02,60
2017-03,38
2017-04,36
2017-05,33
2017-06,27
2017-07,37
