Category: All categories

Month,self-driving car: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,27
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,24
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,17
2005-09,15
2005-10,14
2005-11,43
2005-12,0
2006-01,12
2006-02,0
2006-03,0
2006-04,0
2006-05,11
2006-06,11
2006-07,17
2006-08,0
2006-09,10
2006-10,9
2006-11,13
2006-12,0
2007-01,16
2007-02,17
2007-03,0
2007-04,15
2007-05,7
2007-06,14
2007-07,0
2007-08,0
2007-09,6
2007-10,11
2007-11,5
2007-12,10
2008-01,14
2008-02,0
2008-03,5
2008-04,5
2008-05,5
2008-06,7
2008-07,5
2008-08,5
2008-09,4
2008-10,4
2008-11,0
2008-12,0
2009-01,4
2009-02,0
2009-03,0
2009-04,7
2009-05,0
2009-06,3
2009-07,7
2009-08,4
2009-09,0
2009-10,5
2009-11,5
2009-12,3
2010-01,3
2010-02,0
2010-03,3
2010-04,6
2010-05,3
2010-06,3
2010-07,3
2010-08,3
2010-09,2
2010-10,42
2010-11,11
2010-12,7
2011-01,4
2011-02,3
2011-03,12
2011-04,5
2011-05,11
2011-06,6
2011-07,5
2011-08,10
2011-09,8
2011-10,8
2011-11,10
2011-12,9
2012-01,8
2012-02,16
2012-03,28
2012-04,36
2012-05,47
2012-06,16
2012-07,8
2012-08,19
2012-09,32
2012-10,21
2012-11,25
2012-12,20
2013-01,31
2013-02,16
2013-03,14
2013-04,16
2013-05,18
2013-06,12
2013-07,11
2013-08,10
2013-09,19
2013-10,22
2013-11,21
2013-12,15
2014-01,16
2014-02,17
2014-03,15
2014-04,18
2014-05,67
2014-06,49
2014-07,14
2014-08,22
2014-09,23
2014-10,22
2014-11,25
2014-12,40
2015-01,39
2015-02,31
2015-03,42
2015-04,28
2015-05,48
2015-06,45
2015-07,47
2015-08,52
2015-09,45
2015-10,50
2015-11,68
2015-12,46
2016-01,49
2016-02,55
2016-03,100
2016-04,68
2016-05,70
2016-06,50
2016-07,57
2016-08,64
2016-09,86
2016-10,83
2016-11,77
2016-12,90
2017-01,86
2017-02,69
2017-03,91
2017-04,81
2017-05,74
2017-06,62
2017-07,59
2017-08,47
