Category: All categories

Month,self-driving car: (Worldwide)
2008-01,100
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,58
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,54
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,45
2010-11,44
2010-12,0
2011-01,0
2011-02,43
2011-03,39
2011-04,0
2011-05,0
2011-06,79
2011-07,0
2011-08,0
2011-09,0
2011-10,34
2011-11,0
2011-12,34
2012-01,31
2012-02,32
2012-03,31
2012-04,0
2012-05,75
2012-06,0
2012-07,30
2012-08,0
2012-09,46
2012-10,28
2012-11,0
2012-12,0
2013-01,25
2013-02,27
2013-03,25
2013-04,25
2013-05,25
2013-06,25
2013-07,50
2013-08,24
2013-09,49
2013-10,23
2013-11,0
2013-12,0
2014-01,22
2014-02,0
2014-03,21
2014-04,0
2014-05,22
2014-06,25
2014-07,24
2014-08,36
2014-09,31
2014-10,37
2014-11,23
2014-12,56
2015-01,35
2015-02,34
2015-03,41
2015-04,43
2015-05,82
2015-06,21
2015-07,49
2015-08,21
2015-09,40
2015-10,57
2015-11,20
2015-12,30
2016-01,67
2016-02,35
2016-03,39
2016-04,68
2016-05,46
2016-06,21
2016-07,35
2016-08,29
2016-09,63
2016-10,54
2016-11,40
2016-12,52
2017-01,31
2017-02,88
2017-03,27
2017-04,39
2017-05,77
2017-06,41
2017-07,34
2017-08,0
