Category: All categories

Month,social media: (Worldwide)
2004-01,3
2004-02,3
2004-03,4
2004-04,3
2004-05,3
2004-06,2
2004-07,1
2004-08,2
2004-09,2
2004-10,3
2004-11,3
2004-12,2
2005-01,2
2005-02,3
2005-03,2
2005-04,3
2005-05,3
2005-06,2
2005-07,1
2005-08,2
2005-09,3
2005-10,3
2005-11,3
2005-12,2
2006-01,2
2006-02,3
2006-03,3
2006-04,3
2006-05,3
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,3
2006-11,3
2006-12,2
2007-01,2
2007-02,3
2007-03,3
2007-04,3
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,4
2007-10,4
2007-11,4
2007-12,3
2008-01,4
2008-02,5
2008-03,5
2008-04,6
2008-05,6
2008-06,5
2008-07,5
2008-08,6
2008-09,7
2008-10,7
2008-11,7
2008-12,7
2009-01,8
2009-02,10
2009-03,11
2009-04,13
2009-05,13
2009-06,15
2009-07,16
2009-08,17
2009-09,18
2009-10,20
2009-11,20
2009-12,17
2010-01,22
2010-02,26
2010-03,28
2010-04,29
2010-05,27
2010-06,29
2010-07,27
2010-08,29
2010-09,32
2010-10,32
2010-11,34
2010-12,28
2011-01,35
2011-02,42
2011-03,44
2011-04,42
2011-05,42
2011-06,42
2011-07,39
2011-08,40
2011-09,45
2011-10,44
2011-11,46
2011-12,36
2012-01,44
2012-02,53
2012-03,50
2012-04,49
2012-05,50
2012-06,45
2012-07,43
2012-08,44
2012-09,49
2012-10,51
2012-11,50
2012-12,39
2013-01,48
2013-02,57
2013-03,54
2013-04,57
2013-05,52
2013-06,48
2013-07,47
2013-08,46
2013-09,54
2013-10,57
2013-11,58
2013-12,47
2014-01,55
2014-02,66
2014-03,65
2014-04,65
2014-05,61
2014-06,55
2014-07,54
2014-08,55
2014-09,64
2014-10,68
2014-11,66
2014-12,54
2015-01,61
2015-02,71
2015-03,72
2015-04,73
2015-05,66
2015-06,63
2015-07,59
2015-08,60
2015-09,71
2015-10,74
2015-11,78
2015-12,63
2016-01,73
2016-02,86
2016-03,86
2016-04,89
2016-05,83
2016-06,75
2016-07,67
2016-08,70
2016-09,80
2016-10,86
2016-11,92
2016-12,75
2017-01,91
2017-02,95
2017-03,100
2017-04,97
2017-05,90
2017-06,81
2017-07,79
