Category: All categories

Month,social media: (Worldwide)
2008-01,3
2008-02,2
2008-03,2
2008-04,2
2008-05,3
2008-06,3
2008-07,2
2008-08,2
2008-09,2
2008-10,2
2008-11,3
2008-12,3
2009-01,4
2009-02,7
2009-03,12
2009-04,15
2009-05,15
2009-06,14
2009-07,14
2009-08,17
2009-09,16
2009-10,23
2009-11,21
2009-12,23
2010-01,21
2010-02,31
2010-03,23
2010-04,17
2010-05,14
2010-06,17
2010-07,14
2010-08,15
2010-09,17
2010-10,13
2010-11,12
2010-12,8
2011-01,30
2011-02,32
2011-03,32
2011-04,30
2011-05,30
2011-06,35
2011-07,30
2011-08,32
2011-09,30
2011-10,30
2011-11,39
2011-12,25
2012-01,35
2012-02,43
2012-03,35
2012-04,39
2012-05,34
2012-06,31
2012-07,32
2012-08,32
2012-09,32
2012-10,37
2012-11,35
2012-12,26
2013-01,31
2013-02,34
2013-03,32
2013-04,44
2013-05,37
2013-06,28
2013-07,26
2013-08,26
2013-09,33
2013-10,34
2013-11,29
2013-12,22
2014-01,29
2014-02,36
2014-03,33
2014-04,34
2014-05,27
2014-06,28
2014-07,29
2014-08,30
2014-09,33
2014-10,30
2014-11,29
2014-12,25
2015-01,26
2015-02,29
2015-03,34
2015-04,31
2015-05,27
2015-06,27
2015-07,23
2015-08,25
2015-09,29
2015-10,29
2015-11,32
2015-12,23
2016-01,31
2016-02,72
2016-03,97
2016-04,37
2016-05,32
2016-06,61
2016-07,89
2016-08,83
2016-09,81
2016-10,99
2016-11,100
2016-12,88
2017-01,95
2017-02,78
2017-03,32
2017-04,29
2017-05,27
2017-06,23
2017-07,20
