Category: All categories

Month,social robot: (Worldwide)
2004-01,51
2004-02,26
2004-03,31
2004-04,32
2004-05,64
2004-06,64
2004-07,37
2004-08,41
2004-09,38
2004-10,19
2004-11,19
2004-12,18
2005-01,40
2005-02,22
2005-03,32
2005-04,31
2005-05,14
2005-06,62
2005-07,42
2005-08,27
2005-09,33
2005-10,31
2005-11,27
2005-12,28
2006-01,10
2006-02,31
2006-03,29
2006-04,22
2006-05,20
2006-06,21
2006-07,21
2006-08,14
2006-09,16
2006-10,15
2006-11,14
2006-12,20
2007-01,19
2007-02,22
2007-03,21
2007-04,22
2007-05,32
2007-06,13
2007-07,16
2007-08,31
2007-09,20
2007-10,12
2007-11,27
2007-12,15
2008-01,23
2008-02,20
2008-03,10
2008-04,18
2008-05,20
2008-06,19
2008-07,20
2008-08,18
2008-09,29
2008-10,20
2008-11,30
2008-12,26
2009-01,20
2009-02,22
2009-03,29
2009-04,21
2009-05,25
2009-06,16
2009-07,20
2009-08,21
2009-09,24
2009-10,25
2009-11,25
2009-12,12
2010-01,21
2010-02,21
2010-03,29
2010-04,23
2010-05,27
2010-06,30
2010-07,24
2010-08,33
2010-09,40
2010-10,58
2010-11,43
2010-12,40
2011-01,34
2011-02,42
2011-03,41
2011-04,31
2011-05,34
2011-06,27
2011-07,25
2011-08,27
2011-09,39
2011-10,39
2011-11,39
2011-12,37
2012-01,41
2012-02,39
2012-03,51
2012-04,65
2012-05,71
2012-06,58
2012-07,68
2012-08,72
2012-09,82
2012-10,71
2012-11,54
2012-12,62
2013-01,80
2013-02,71
2013-03,60
2013-04,65
2013-05,88
2013-06,91
2013-07,94
2013-08,95
2013-09,99
2013-10,84
2013-11,80
2013-12,75
2014-01,71
2014-02,79
2014-03,67
2014-04,64
2014-05,58
2014-06,67
2014-07,60
2014-08,55
2014-09,55
2014-10,51
2014-11,56
2014-12,52
2015-01,48
2015-02,52
2015-03,50
2015-04,57
2015-05,63
2015-06,55
2015-07,63
2015-08,58
2015-09,61
2015-10,50
2015-11,54
2015-12,59
2016-01,65
2016-02,62
2016-03,59
2016-04,65
2016-05,100
2016-06,82
2016-07,66
2016-08,63
2016-09,59
2016-10,61
2016-11,64
2016-12,61
2017-01,56
2017-02,51
2017-03,56
2017-04,55
2017-05,43
2017-06,36
2017-07,37
2017-08,43
