Category: All categories

Month,social robot: (Worldwide)
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,65
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,43
2012-02,44
2012-03,0
2012-04,0
2012-05,0
2012-06,42
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,34
2013-04,0
2013-05,0
2013-06,0
2013-07,34
2013-08,0
2013-09,33
2013-10,31
2013-11,0
2013-12,0
2014-01,30
2014-02,0
2014-03,0
2014-04,0
2014-05,30
2014-06,0
2014-07,0
2014-08,33
2014-09,0
2014-10,0
2014-11,31
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,28
2015-06,0
2015-07,0
2015-08,28
2015-09,55
2015-10,26
2015-11,27
2015-12,0
2016-01,0
2016-02,0
2016-03,27
2016-04,28
2016-05,27
2016-06,28
2016-07,57
2016-08,29
2016-09,28
2016-10,100
2016-11,100
2016-12,27
2017-01,25
2017-02,28
2017-03,50
2017-04,27
2017-05,26
2017-06,0
2017-07,0
2017-08,0
