Category: All categories

Month,wearable technology: (Worldwide)
2004-01,26
2004-02,17
2004-03,22
2004-04,21
2004-05,5
2004-06,5
2004-07,11
2004-08,24
2004-09,21
2004-10,11
2004-11,17
2004-12,8
2005-01,12
2005-02,11
2005-03,24
2005-04,17
2005-05,10
2005-06,7
2005-07,10
2005-08,13
2005-09,8
2005-10,8
2005-11,11
2005-12,9
2006-01,11
2006-02,6
2006-03,10
2006-04,6
2006-05,7
2006-06,7
2006-07,3
2006-08,4
2006-09,8
2006-10,9
2006-11,5
2006-12,4
2007-01,7
2007-02,7
2007-03,8
2007-04,4
2007-05,3
2007-06,7
2007-07,5
2007-08,4
2007-09,5
2007-10,7
2007-11,6
2007-12,3
2008-01,3
2008-02,6
2008-03,6
2008-04,4
2008-05,5
2008-06,3
2008-07,5
2008-08,3
2008-09,5
2008-10,5
2008-11,4
2008-12,5
2009-01,5
2009-02,6
2009-03,5
2009-04,4
2009-05,4
2009-06,6
2009-07,5
2009-08,4
2009-09,6
2009-10,5
2009-11,4
2009-12,4
2010-01,4
2010-02,5
2010-03,7
2010-04,6
2010-05,6
2010-06,5
2010-07,4
2010-08,4
2010-09,6
2010-10,5
2010-11,4
2010-12,4
2011-01,4
2011-02,5
2011-03,5
2011-04,4
2011-05,2
2011-06,3
2011-07,3
2011-08,4
2011-09,5
2011-10,3
2011-11,5
2011-12,2
2012-01,5
2012-02,6
2012-03,6
2012-04,7
2012-05,6
2012-06,4
2012-07,5
2012-08,4
2012-09,5
2012-10,5
2012-11,6
2012-12,5
2013-01,8
2013-02,16
2013-03,15
2013-04,16
2013-05,19
2013-06,21
2013-07,25
2013-08,25
2013-09,29
2013-10,36
2013-11,35
2013-12,37
2014-01,71
2014-02,74
2014-03,83
2014-04,79
2014-05,70
2014-06,64
2014-07,81
2014-08,66
2014-09,94
2014-10,100
2014-11,95
2014-12,84
2015-01,90
2015-02,92
2015-03,95
2015-04,81
2015-05,70
2015-06,71
2015-07,58
2015-08,54
2015-09,70
2015-10,71
2015-11,78
2015-12,67
2016-01,67
2016-02,71
2016-03,71
2016-04,69
2016-05,56
2016-06,51
2016-07,45
2016-08,48
2016-09,61
2016-10,63
2016-11,65
2016-12,56
2017-01,59
2017-02,64
2017-03,70
2017-04,57
2017-05,54
2017-06,45
2017-07,41
