Category: All categories

Month,wearable: (Worldwide)
2008-01,9
2008-02,0
2008-03,0
2008-04,0
2008-05,8
2008-06,0
2008-07,0
2008-08,0
2008-09,8
2008-10,14
2008-11,0
2008-12,7
2009-01,0
2009-02,0
2009-03,6
2009-04,0
2009-05,18
2009-06,0
2009-07,0
2009-08,0
2009-09,6
2009-10,5
2009-11,0
2009-12,5
2010-01,0
2010-02,0
2010-03,0
2010-04,5
2010-05,0
2010-06,5
2010-07,5
2010-08,0
2010-09,6
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,4
2011-03,5
2011-04,11
2011-05,0
2011-06,0
2011-07,4
2011-08,3
2011-09,0
2011-10,0
2011-11,6
2011-12,6
2012-01,0
2012-02,3
2012-03,3
2012-04,4
2012-05,3
2012-06,3
2012-07,7
2012-08,8
2012-09,7
2012-10,10
2012-11,9
2012-12,4
2013-01,14
2013-02,14
2013-03,12
2013-04,22
2013-05,23
2013-06,20
2013-07,19
2013-08,29
2013-09,31
2013-10,20
2013-11,24
2013-12,24
2014-01,48
2014-02,53
2014-03,62
2014-04,55
2014-05,37
2014-06,54
2014-07,45
2014-08,45
2014-09,68
2014-10,55
2014-11,50
2014-12,45
2015-01,47
2015-02,39
2015-03,47
2015-04,48
2015-05,35
2015-06,39
2015-07,26
2015-08,47
2015-09,38
2015-10,33
2015-11,40
2015-12,33
2016-01,47
2016-02,73
2016-03,100
2016-04,39
2016-05,41
2016-06,46
2016-07,56
2016-08,68
2016-09,65
2016-10,56
2016-11,68
2016-12,57
2017-01,61
2017-02,57
2017-03,35
2017-04,26
2017-05,17
2017-06,16
2017-07,16
